learner_id,region,course_id,last_login_days,assignment_completion_rate,quiz_score_trend,attendance_rate
L12835,South Africa,CRS-011,8.0,0.685,-9.2,0.826
L14917,Egypt,CRS-008,0.1,0.627,-0.9,0.845
L10375,Egypt,CRS-008,28.8,0.754,-11.8,0.935
L11093,South Africa,CRS-004,0.8,0.137,22.1,0.633
L12770,South Africa,CRS-009,2.6,0.959,0.1,0.921
L14165,South Africa,CRS-005,7.6,0.754,-2.2,0.320
L14300,South Africa,CRS-002,0.6,0.633,11.4,0.667
L10841,South Africa,CRS-006,1.5,0.721,8.1,0.731
L10176,Egypt,CRS-001,6.0,0.552,0.9,0.831
L13629,South Africa,CRS-006,5.9,0.732,10.5,0.831
L14471,Egypt,CRS-011,1.6,0.782,-6.1,0.843
L12459,South Africa,CRS-014,18.0,0.922,-2.0,0.932
L14289,South Africa,CRS-009,4.4,0.820,7.2,0.647
L10419,Egypt,CRS-012,12.8,0.729,-8.5,0.704
L10033,Egypt,CRS-012,9.5,0.623,-13.9,0.884
L12847,South Africa,CRS-011,18.1,0.809,-26.0,0.768
L11298,Egypt,CRS-012,2.0,0.589,9.7,0.704
L14829,South Africa,CRS-003,15.9,0.824,-39.8,0.835
L12399,Egypt,CRS-004,13.9,0.562,-40.5,0.866
L15397,South Africa,CRS-008,11.8,0.890,8.2,0.681
L11492,South Africa,CRS-012,4.3,0.494,-12.3,0.513
L12964,Egypt,CRS-014,5.6,0.375,20.8,0.818
L14185,South Africa,CRS-004,4.5,0.764,-6.8,0.759
L14583,South Africa,CRS-012,1.9,0.847,-6.2,0.554
L10256,Egypt,CRS-012,13.3,0.684,-7.0,0.483
L10866,Egypt,CRS-004,24.8,0.613,-5.0,0.896
L12478,Egypt,CRS-006,6.1,0.803,3.9,0.757
L10824,South Africa,CRS-008,3.6,0.870,-4.6,0.880
L12037,Egypt,CRS-001,3.2,0.556,2.0,0.874
L12160,South Africa,CRS-006,20.9,0.914,-10.1,0.765
L12985,South Africa,CRS-011,6.0,0.684,-4.6,0.571
L14846,Egypt,CRS-014,7.3,0.443,-33.5,0.735
L13968,South Africa,CRS-011,2.5,0.829,-13.6,0.714
L12154,Egypt,CRS-012,12.7,0.918,1.9,0.309
L13357,Egypt,CRS-002,7.9,0.764,-3.7,0.669
L15332,Egypt,CRS-007,30.7,0.861,-0.0,0.763
L14729,South Africa,CRS-006,11.1,0.830,7.2,0.609
L11497,Egypt,CRS-014,15.0,0.728,-3.9,0.700
L10922,South Africa,CRS-010,12.5,0.697,-0.4,0.310
L14271,Egypt,CRS-004,4.4,0.574,-24.6,0.674
L13018,Egypt,CRS-009,4.1,0.693,3.3,0.882
L14785,Egypt,CRS-004,1.2,0.506,-16.2,0.751
L10836,Egypt,CRS-014,18.1,0.887,-1.8,0.535
L11549,South Africa,CRS-002,1.7,0.655,-4.8,0.517
L13278,Egypt,CRS-003,4.2,0.665,11.3,0.756
L12096,Egypt,CRS-013,19.1,0.746,-3.5,0.819
L14534,Egypt,CRS-005,9.7,0.910,-17.9,0.527
L13190,Egypt,CRS-001,11.6,0.820,-5.8,0.788
L15057,South Africa,CRS-012,24.7,0.481,-9.1,0.656
L12603,Egypt,CRS-008,6.6,0.612,1.1,0.761
L11469,Egypt,CRS-007,0.9,0.692,11.1,0.870
L11423,South Africa,CRS-004,20.8,0.744,9.7,0.770
L11147,South Africa,CRS-006,17.6,0.853,1.1,0.804
L11363,South Africa,CRS-003,7.0,0.907,8.0,0.912
L14967,Egypt,CRS-001,7.0,0.786,-27.8,0.915
L13089,Egypt,CRS-014,0.6,0.536,-11.8,0.126
L12867,South Africa,CRS-004,5.2,0.648,14.2,0.831
L11956,Egypt,CRS-005,10.1,0.599,1.3,0.687
L10193,Egypt,CRS-011,14.0,0.543,-44.2,0.767
L15198,Egypt,CRS-011,0.8,0.820,21.8,0.865
L12955,Egypt,CRS-015,2.3,0.865,3.5,0.852
L13763,Egypt,CRS-004,0.1,0.450,-20.8,0.674
L14943,Egypt,CRS-010,5.7,0.885,-16.0,0.731
L13016,Egypt,CRS-005,4.4,0.417,-22.0,0.838
L11391,Egypt,CRS-011,19.1,0.629,-1.1,0.565
L13740,Egypt,CRS-006,14.8,0.508,6.2,0.450
L11544,South Africa,CRS-008,12.8,0.571,7.1,0.731
L15196,South Africa,CRS-004,24.1,0.918,15.0,0.882
L11144,Egypt,CRS-007,0.7,0.838,8.6,0.590
L13459,South Africa,CRS-007,5.4,0.701,3.9,0.802
L14392,Egypt,CRS-015,27.7,0.538,-1.4,0.476
L12990,South Africa,CRS-009,5.4,0.720,-27.0,0.854
L12658,Egypt,CRS-003,4.8,0.802,7.9,0.769
L12241,Egypt,CRS-002,2.8,0.800,7.9,0.435
L11684,Egypt,CRS-013,2.5,0.407,-7.2,0.621
L11627,Egypt,CRS-002,8.8,0.765,-18.0,0.532
L10263,Egypt,CRS-011,2.3,0.543,8.6,0.432
L10144,South Africa,CRS-003,1.4,0.422,-20.5,0.925
L13262,South Africa,CRS-015,11.7,0.679,1.3,0.631
L15156,South Africa,CRS-003,5.4,0.673,-4.3,0.754
L11024,South Africa,CRS-011,2.1,0.733,-1.5,0.778
L12389,South Africa,CRS-003,21.5,0.809,-11.7,0.869
L11591,Egypt,CRS-011,5.0,0.854,14.6,0.616
L12177,South Africa,CRS-007,2.9,0.845,-1.1,0.795
L12575,Egypt,CRS-005,14.1,0.709,7.5,0.782
L14026,South Africa,CRS-013,8.7,0.908,13.0,0.883
L12660,South Africa,CRS-007,0.2,0.167,-10.0,0.427
L10394,Egypt,CRS-002,21.3,0.391,-7.9,0.877
L10587,Egypt,CRS-015,8.9,0.545,9.6,0.670
L15165,Egypt,CRS-014,1.3,0.925,-12.8,0.711
L13330,Egypt,CRS-015,19.0,0.729,-3.8,0.722
L10992,South Africa,CRS-002,16.7,0.831,-10.1,0.844
L11445,South Africa,CRS-010,0.2,0.523,2.6,0.763
L10215,South Africa,CRS-002,2.9,0.922,16.4,0.579
L12133,South Africa,CRS-012,11.5,0.707,-7.0,0.791
L10048,Egypt,CRS-010,8.0,0.535,-16.0,0.629
L10145,Egypt,CRS-015,3.4,0.891,-7.7,0.739
L13026,Egypt,CRS-007,0.8,0.831,-2.7,0.651
L14589,Egypt,CRS-008,12.9,0.682,10.2,0.102
L14757,South Africa,CRS-012,7.0,0.681,5.4,0.602
L14850,South Africa,CRS-013,25.7,0.944,-0.5,0.882
L10774,South Africa,CRS-012,6.3,0.682,-22.7,0.618
L14368,South Africa,CRS-002,7.3,0.750,-26.0,0.642
L10333,South Africa,CRS-006,3.9,0.883,7.1,0.533
L13380,South Africa,CRS-010,22.0,0.744,-28.7,0.402
L14085,South Africa,CRS-011,8.1,0.596,-15.6,0.589
L10993,Egypt,CRS-002,1.5,0.701,21.7,0.813
L14148,Egypt,CRS-004,16.5,0.865,21.2,0.892
L10078,Egypt,CRS-010,12.9,0.741,8.7,0.811
L13796,Egypt,CRS-014,0.0,0.873,6.8,0.671
L12007,South Africa,CRS-010,4.6,0.606,-1.7,0.176
L10224,South Africa,CRS-007,31.9,0.654,12.0,0.828
L15249,Egypt,CRS-011,4.3,0.814,-2.2,0.630
L10607,South Africa,CRS-003,16.6,0.805,6.9,0.412
L13414,Egypt,CRS-012,7.3,0.623,10.7,0.642
L11913,South Africa,CRS-007,0.7,0.519,-12.9,0.655
L10318,Egypt,CRS-001,10.3,0.756,17.0,0.594
L15176,South Africa,CRS-003,17.4,0.691,-7.5,0.819
L12506,South Africa,CRS-002,2.0,0.781,27.3,0.705
L11449,South Africa,CRS-014,6.7,0.760,-16.7,0.824
L10251,South Africa,CRS-015,22.6,0.817,10.5,0.822
L14307,South Africa,CRS-007,13.6,0.400,-1.6,0.482
L12110,Egypt,CRS-005,15.4,0.495,-10.6,0.574
L14504,Egypt,CRS-004,7.4,0.805,-19.3,0.761
L12717,South Africa,CRS-009,7.1,0.821,-3.2,0.845
L10069,South Africa,CRS-005,8.6,0.561,-1.1,0.920
L10216,Egypt,CRS-007,0.2,0.798,-15.8,0.678
L13836,South Africa,CRS-005,7.1,0.750,30.5,0.486
L15284,South Africa,CRS-001,2.1,0.887,-1.8,0.483
L13757,Egypt,CRS-013,3.3,0.622,-4.8,0.434
L10689,Egypt,CRS-014,3.5,0.675,-13.8,0.446
L10301,South Africa,CRS-015,13.8,0.558,-8.1,0.537
L10379,Egypt,CRS-015,9.5,0.744,0.0,0.803
L10890,Egypt,CRS-007,8.5,0.817,-6.4,0.717
L12062,Egypt,CRS-015,18.9,0.725,-0.0,0.234
L13933,South Africa,CRS-009,2.8,0.689,0.9,0.903
L13856,South Africa,CRS-004,1.8,0.653,-8.4,0.319
L13584,South Africa,CRS-002,5.5,0.689,1.1,0.499
L11835,Egypt,CRS-012,0.1,0.381,-3.0,0.886
L14674,Egypt,CRS-013,0.2,0.796,4.4,0.727
L12317,Egypt,CRS-013,14.0,0.891,-12.0,0.636
L12348,Egypt,CRS-007,5.6,0.337,35.8,0.116
L11532,Egypt,CRS-003,2.6,0.701,5.9,0.746
L12437,Egypt,CRS-013,13.3,0.677,14.0,0.883
L14200,South Africa,CRS-001,15.4,0.550,-20.7,0.465
L11026,South Africa,CRS-003,6.8,0.809,17.2,0.777
L14021,Egypt,CRS-001,0.0,0.489,9.4,0.967
L12179,Egypt,CRS-013,7.2,0.820,-7.4,0.401
L15026,Egypt,CRS-010,12.6,0.946,-12.6,0.313
L11518,Egypt,CRS-007,14.3,0.608,3.9,0.600
L12448,Egypt,CRS-012,2.6,0.936,-7.1,0.407
L12731,Egypt,CRS-010,9.9,0.417,-1.4,0.911
L12416,Egypt,CRS-009,2.4,0.793,10.4,0.973
L10302,South Africa,CRS-008,24.2,0.954,1.9,0.785
L15169,Egypt,CRS-001,12.5,0.868,5.1,0.797
L12196,South Africa,CRS-013,5.2,0.696,-5.4,0.826
L10027,South Africa,CRS-013,5.0,0.742,-3.1,0.756
L13692,South Africa,CRS-004,19.7,0.956,-12.1,0.763
L13838,South Africa,CRS-014,8.6,0.909,-5.7,0.837
L13876,Egypt,CRS-002,2.5,0.854,-0.9,0.766
L10330,South Africa,CRS-011,8.6,0.438,-4.1,0.859
L14224,South Africa,CRS-004,9.9,0.156,-12.5,0.720
L13720,South Africa,CRS-009,11.1,0.537,6.3,0.501
L11121,South Africa,CRS-006,9.8,0.426,-20.8,0.827
L10151,South Africa,CRS-004,1.5,0.465,4.4,0.795
L10347,South Africa,CRS-009,18.0,0.677,-28.3,0.528
L10147,South Africa,CRS-010,3.5,0.931,-5.2,0.555
L12244,South Africa,CRS-003,33.0,0.305,-3.7,0.787
L12959,Egypt,CRS-010,9.4,0.325,7.7,0.953
L13592,Egypt,CRS-005,2.0,0.666,13.3,0.881
L14133,Egypt,CRS-014,12.1,0.968,13.8,0.636
L12232,South Africa,CRS-012,10.3,0.655,6.5,0.742
L15197,South Africa,CRS-005,33.0,0.784,-12.2,0.397
L14117,Egypt,CRS-011,2.6,0.665,-7.2,0.802
L12763,South Africa,CRS-015,4.9,0.835,-30.8,0.872
L12246,Egypt,CRS-011,25.8,0.848,-2.9,0.820
L11620,South Africa,CRS-012,21.3,0.750,-19.5,0.881
L13894,Egypt,CRS-001,50.2,0.821,22.3,0.617
L12989,Egypt,CRS-002,9.0,0.558,5.3,0.792
L12395,Egypt,CRS-003,4.7,0.803,8.8,0.489
L10920,Egypt,CRS-002,3.3,0.546,-13.5,0.646
L10585,South Africa,CRS-014,7.2,0.621,-5.3,0.592
L15372,Egypt,CRS-008,19.3,0.654,-11.4,0.626
L10089,South Africa,CRS-005,3.5,0.822,1.0,0.789
L15020,Egypt,CRS-009,5.2,0.853,1.6,0.515
L12879,Egypt,CRS-004,5.9,0.593,-5.0,0.608
L11382,South Africa,CRS-005,21.5,0.814,12.9,0.839
L12939,Egypt,CRS-007,1.9,0.952,-13.8,0.881
L11386,South Africa,CRS-001,10.0,0.967,24.3,0.871
L14520,Egypt,CRS-003,2.4,0.497,3.6,0.498
L12273,South Africa,CRS-014,3.9,0.618,16.7,0.716
L12472,South Africa,CRS-004,19.9,0.916,5.3,0.316
L11628,Egypt,CRS-015,35.0,0.598,-6.7,0.833
L13082,South Africa,CRS-011,35.0,0.461,2.3,0.863
L15400,Egypt,CRS-003,3.7,0.768,-17.5,0.767
L12377,Egypt,CRS-006,15.5,0.490,0.5,0.741
L10519,South Africa,CRS-003,50.8,0.655,-8.8,0.655
L10820,Egypt,CRS-001,15.9,0.940,-0.1,0.834
L12844,Egypt,CRS-012,4.1,0.548,2.0,0.431
L10050,South Africa,CRS-001,7.2,0.611,-5.4,0.770
L13266,South Africa,CRS-005,4.0,0.661,-6.6,0.768
L13691,South Africa,CRS-015,2.6,0.889,4.0,0.662
L11129,South Africa,CRS-003,1.2,0.824,-7.9,0.443
L13491,South Africa,CRS-007,10.9,0.900,-9.5,0.616
L13170,Egypt,CRS-005,15.5,0.785,-0.3,0.706
L11462,South Africa,CRS-005,9.5,0.522,-23.5,0.500
L11167,Egypt,CRS-014,3.6,0.568,-5.8,0.860
L12358,Egypt,CRS-010,11.4,0.688,-7.9,0.444
L10793,South Africa,CRS-003,1.7,0.496,-14.9,0.690
L14238,Egypt,CRS-015,16.2,0.961,10.8,0.569
L11908,South Africa,CRS-010,35.7,0.262,-4.5,0.736
L14014,Egypt,CRS-013,3.6,0.515,-8.6,0.603
L12117,Egypt,CRS-001,9.7,0.791,18.5,0.431
L11673,Egypt,CRS-008,11.1,0.914,1.8,0.904
L14531,Egypt,CRS-015,16.8,0.805,7.4,0.763
L12483,Egypt,CRS-009,9.1,0.824,10.3,0.400
L12725,South Africa,CRS-001,2.5,0.543,-8.2,0.980
L14632,South Africa,CRS-003,8.3,0.860,1.2,0.498
L12325,South Africa,CRS-009,25.4,0.598,-2.3,0.530
L12925,South Africa,CRS-014,6.3,0.677,-6.6,0.342
L11049,South Africa,CRS-012,2.0,0.488,-0.1,0.795
L14252,South Africa,CRS-013,13.6,0.653,6.0,0.862
L12544,Egypt,CRS-001,4.8,0.590,4.3,0.915
L11421,South Africa,CRS-005,0.7,0.642,-5.3,0.900
L11166,Egypt,CRS-010,0.3,0.788,2.4,0.812
L10984,South Africa,CRS-005,30.9,0.757,-15.9,0.719
L10910,South Africa,CRS-015,8.6,0.626,12.2,0.569
L10087,South Africa,CRS-008,15.8,0.356,3.6,0.772
L14231,South Africa,CRS-014,1.1,0.704,-2.8,0.763
L13038,South Africa,CRS-013,11.6,0.626,-11.7,0.867
L11359,Egypt,CRS-010,6.4,0.630,6.3,0.754
L11020,South Africa,CRS-008,13.6,0.646,0.8,0.125
L13677,Egypt,CRS-002,0.4,0.924,10.3,0.899
L11604,South Africa,CRS-008,25.5,0.410,-28.6,0.925
L15187,South Africa,CRS-004,4.0,0.865,14.6,0.612
L11141,Egypt,CRS-005,13.1,0.630,0.5,0.273
L11896,Egypt,CRS-003,8.8,0.546,-21.5,0.809
L11984,Egypt,CRS-013,10.0,0.118,4.2,0.739
L14637,Egypt,CRS-013,0.1,0.807,-12.3,0.913
L10796,Egypt,CRS-003,1.6,0.104,-0.7,0.846
L10377,South Africa,CRS-001,9.6,0.593,14.9,0.652
L15065,Egypt,CRS-002,8.4,0.702,18.7,0.526
L13936,Egypt,CRS-006,21.5,0.812,14.3,0.620
L11481,Egypt,CRS-001,5.4,0.522,-20.7,0.850
L12810,South Africa,CRS-009,4.2,0.745,6.9,0.864
L14448,South Africa,CRS-014,9.6,0.675,3.6,0.566
L15369,Egypt,CRS-012,23.8,0.876,-20.8,0.706
L10417,Egypt,CRS-005,8.5,0.506,-0.0,0.580
L14357,South Africa,CRS-004,1.3,0.413,13.9,0.689
L14032,Egypt,CRS-011,14.5,0.721,-21.9,0.731
L13166,Egypt,CRS-003,1.2,0.589,3.4,0.607
L12009,South Africa,CRS-003,0.2,0.887,-14.0,0.704
L14627,Egypt,CRS-006,0.4,0.722,-7.2,0.864
L13693,Egypt,CRS-014,0.8,0.503,10.4,0.843
L12500,South Africa,CRS-002,6.8,0.909,7.3,0.508
L15336,Egypt,CRS-013,13.2,0.635,0.4,0.183
L10934,South Africa,CRS-009,13.7,0.682,4.4,0.824
L14825,Egypt,CRS-013,9.0,0.692,-0.2,0.685
L14418,Egypt,CRS-005,1.3,0.890,-40.4,0.640
L10402,South Africa,CRS-007,8.8,0.665,-6.3,0.758
L10459,South Africa,CRS-003,20.5,0.903,9.8,0.759
L14739,Egypt,CRS-006,7.3,0.713,11.4,0.625
L11809,South Africa,CRS-013,7.9,0.733,-7.6,0.702
L13210,South Africa,CRS-003,0.5,0.715,-0.9,0.814
L14558,South Africa,CRS-001,3.6,0.741,17.2,0.919
L12803,South Africa,CRS-005,3.8,0.394,7.8,0.778
L14163,Egypt,CRS-012,3.1,0.750,0.4,0.950
L10109,South Africa,CRS-001,1.4,0.827,-19.6,0.362
L13604,Egypt,CRS-008,11.6,0.513,7.4,0.688
L11906,Egypt,CRS-012,6.3,0.652,9.3,0.712
L14345,South Africa,CRS-007,4.3,0.709,3.9,0.800
L14584,South Africa,CRS-009,2.2,0.888,9.8,0.676
L10265,Egypt,CRS-013,25.6,0.783,-4.4,0.638
L14726,South Africa,CRS-006,11.4,0.700,-10.1,0.569
L14700,South Africa,CRS-011,0.9,0.863,7.5,0.357
L14708,Egypt,CRS-001,4.3,0.618,-19.4,0.158
L14828,Egypt,CRS-012,6.8,0.742,-18.1,0.834
L10217,South Africa,CRS-015,3.0,0.720,-6.9,0.662
L13093,South Africa,CRS-010,6.5,0.653,9.2,0.909
L10828,Egypt,CRS-014,2.5,0.337,-10.3,0.353
L15135,South Africa,CRS-007,33.5,0.499,8.5,0.830
L15107,Egypt,CRS-005,9.9,0.346,-0.4,0.846
L10191,Egypt,CRS-003,4.7,0.878,7.4,0.833
L10102,South Africa,CRS-005,4.4,0.671,-5.7,0.679
L11365,Egypt,CRS-002,6.8,0.527,-8.5,0.573
L12563,Egypt,CRS-004,22.9,0.779,0.4,0.764
L12405,Egypt,CRS-009,57.5,0.759,-4.8,0.109
L10020,South Africa,CRS-003,8.4,0.503,33.5,0.494
L12390,South Africa,CRS-014,7.8,0.761,3.2,0.642
L13619,Egypt,CRS-015,4.3,0.711,-0.2,0.330
L13887,Egypt,CRS-012,5.0,0.682,3.6,0.771
L10243,South Africa,CRS-010,29.7,0.829,-35.3,0.959
L10780,Egypt,CRS-013,6.6,0.653,3.3,0.522
L10914,South Africa,CRS-005,1.2,0.635,-0.4,0.786
L10947,South Africa,CRS-010,13.7,0.823,7.4,0.847
L10310,Egypt,CRS-009,16.9,0.854,2.8,0.621
L14042,Egypt,CRS-012,2.8,0.802,4.1,0.625
L12034,South Africa,CRS-001,33.8,0.830,-7.1,0.726
L11292,South Africa,CRS-014,2.8,0.689,-14.5,0.613
L13566,South Africa,CRS-002,2.5,0.804,-5.3,0.864
L10006,Egypt,CRS-006,12.4,0.830,-21.0,0.720
L10792,Egypt,CRS-003,2.5,0.799,-16.5,0.642
L10772,South Africa,CRS-006,5.5,0.967,-14.0,0.659
L13236,South Africa,CRS-005,13.1,0.650,-31.4,0.520
L15136,Egypt,CRS-014,22.1,0.581,-0.1,0.702
L15205,South Africa,CRS-015,35.2,0.685,-8.5,0.604
L12624,South Africa,CRS-007,9.4,0.743,18.1,0.625
L11912,South Africa,CRS-005,4.9,0.226,1.2,0.838
L10051,South Africa,CRS-015,0.0,0.938,-0.6,0.622
L10391,South Africa,CRS-005,2.1,0.744,-3.7,0.815
L10211,South Africa,CRS-011,30.0,0.775,16.0,0.803
L14100,South Africa,CRS-007,8.3,0.229,22.1,0.522
L12058,South Africa,CRS-006,21.3,0.410,20.9,0.902
L11645,South Africa,CRS-008,14.4,0.530,-0.3,0.478
L14168,South Africa,CRS-006,12.7,0.854,20.4,0.778
L11385,South Africa,CRS-011,11.4,0.810,-13.3,0.864
L11453,Egypt,CRS-010,47.2,0.794,-18.4,0.914
L11709,Egypt,CRS-012,0.5,0.544,-3.2,0.839
L12795,Egypt,CRS-010,2.0,0.821,22.8,0.738
L13928,South Africa,CRS-006,4.1,0.491,-6.1,0.668
L14139,Egypt,CRS-014,3.1,0.785,5.9,0.680
L12550,South Africa,CRS-014,0.1,0.586,-21.8,0.670
L14492,Egypt,CRS-001,5.8,0.490,-12.6,0.650
L14071,South Africa,CRS-001,20.0,0.873,-0.4,0.757
L12376,South Africa,CRS-015,2.6,0.653,1.4,0.403
L12540,Egypt,CRS-014,0.1,0.126,-11.2,0.846
L12822,Egypt,CRS-003,7.4,0.860,5.9,0.686
L13130,South Africa,CRS-002,5.5,0.730,-49.8,0.647
L13307,South Africa,CRS-014,14.2,0.493,-1.8,0.439
L15399,Egypt,CRS-002,3.8,0.439,-10.7,0.578
L14557,South Africa,CRS-006,15.5,0.894,12.0,0.702
L11917,South Africa,CRS-007,2.1,0.673,-12.7,0.902
L14130,South Africa,CRS-005,13.9,0.941,-6.1,0.813
L11158,South Africa,CRS-001,8.7,0.592,-33.0,0.786
L14820,South Africa,CRS-012,8.9,0.710,3.4,0.750
L15011,Egypt,CRS-012,5.3,0.631,12.3,0.546
L10803,Egypt,CRS-012,0.8,0.613,2.5,0.877
L14937,South Africa,CRS-011,27.9,0.860,11.0,0.766
L10420,Egypt,CRS-012,25.6,0.370,15.2,0.928
L12981,South Africa,CRS-003,15.3,0.767,-11.5,0.930
L11051,Egypt,CRS-008,2.0,0.647,11.0,0.515
L12038,South Africa,CRS-010,7.8,0.668,-7.5,0.604
L14424,South Africa,CRS-005,5.7,0.620,-1.2,0.654
L10525,South Africa,CRS-013,4.8,0.413,-26.5,0.743
L12144,South Africa,CRS-005,11.9,0.982,-3.2,0.594
L15323,South Africa,CRS-004,43.5,0.792,-11.5,0.661
L12495,South Africa,CRS-015,0.1,0.521,-2.1,0.584
L13129,South Africa,CRS-008,8.2,0.743,-26.7,0.301
L10943,Egypt,CRS-009,7.5,0.755,5.7,0.853
L14931,South Africa,CRS-014,24.6,0.348,-4.9,0.562
L12227,South Africa,CRS-010,18.6,0.586,18.2,0.948
L11890,South Africa,CRS-009,9.5,0.887,-0.2,0.544
L11315,South Africa,CRS-009,3.2,0.488,10.6,0.575
L12611,Egypt,CRS-007,9.9,0.259,-3.3,0.739
L14693,South Africa,CRS-014,7.0,0.700,4.7,0.789
L12172,South Africa,CRS-011,9.3,0.609,15.6,0.834
L12187,South Africa,CRS-015,0.2,0.508,-2.2,0.530
L10567,Egypt,CRS-007,10.9,0.408,6.8,0.677
L10603,Egypt,CRS-009,25.7,0.498,-14.2,0.661
L14665,Egypt,CRS-009,6.6,0.794,-13.7,0.570
L10642,Egypt,CRS-003,15.4,0.773,-15.9,0.307
L14275,South Africa,CRS-005,2.5,0.422,-0.7,0.893
L13816,Egypt,CRS-013,6.8,0.856,15.9,0.706
L11098,Egypt,CRS-013,10.8,0.512,-25.9,0.716
L14284,South Africa,CRS-011,17.3,0.492,11.6,0.773
L11280,South Africa,CRS-010,17.6,0.901,7.6,0.785
L13907,Egypt,CRS-005,3.1,0.788,-22.3,0.672
L14980,Egypt,CRS-014,0.3,0.686,6.5,0.695
L11424,Egypt,CRS-015,5.4,0.837,13.4,0.585
L12991,South Africa,CRS-008,11.0,0.610,-24.5,0.868
L11855,Egypt,CRS-006,1.5,0.662,7.2,0.651
L10476,Egypt,CRS-001,5.2,0.909,4.5,0.431
L13135,Egypt,CRS-007,0.6,0.439,-29.7,0.543
L13034,South Africa,CRS-003,25.2,0.766,-1.2,0.525
L12176,Egypt,CRS-007,1.6,0.818,-0.1,0.800
L10520,Egypt,CRS-009,6.5,0.708,-26.8,0.564
L14844,Egypt,CRS-012,6.8,0.746,14.5,0.715
L11768,South Africa,CRS-002,7.6,0.977,-17.7,0.779
L12086,Egypt,CRS-013,9.6,0.709,-14.3,0.827
L13906,Egypt,CRS-012,0.1,0.803,-6.0,0.816
L15141,South Africa,CRS-007,43.7,0.849,7.9,0.180
L10275,Egypt,CRS-004,53.8,0.893,-13.5,0.748
L12337,South Africa,CRS-012,5.6,0.836,-40.6,0.689
L15365,South Africa,CRS-005,12.0,0.536,3.0,0.814
L13447,South Africa,CRS-004,14.2,0.770,-24.1,0.732
L13080,Egypt,CRS-007,25.4,0.576,3.0,0.931
L12217,South Africa,CRS-005,10.1,0.637,17.6,0.404
L12379,Egypt,CRS-008,0.3,0.927,-43.6,0.799
L14653,Egypt,CRS-004,4.7,0.164,13.3,0.913
L12180,South Africa,CRS-009,3.3,0.742,-1.0,0.836
L14281,South Africa,CRS-006,5.2,0.937,0.7,0.474
L11230,South Africa,CRS-005,5.4,0.859,6.1,0.481
L13513,Egypt,CRS-013,3.1,0.884,13.1,0.708
L14731,South Africa,CRS-006,11.9,0.479,-4.6,0.852
L11027,South Africa,CRS-014,5.8,0.470,4.6,0.606
L14153,Egypt,CRS-008,1.5,0.902,5.7,0.753
L13737,Egypt,CRS-014,19.4,0.678,-39.5,0.816
L15140,South Africa,CRS-004,11.4,0.788,-1.9,0.365
L13391,South Africa,CRS-008,6.5,0.456,20.1,0.848
L14245,South Africa,CRS-004,14.3,0.771,-7.1,0.755
L13281,Egypt,CRS-010,6.6,0.791,-21.5,0.637
L12801,South Africa,CRS-010,7.5,0.660,2.9,0.691
L11711,South Africa,CRS-001,1.1,0.922,3.0,0.586
L10515,Egypt,CRS-003,25.8,0.603,-7.5,0.782
L14912,Egypt,CRS-005,2.7,0.924,-19.0,0.645
L11758,South Africa,CRS-003,33.1,0.781,7.2,0.617
L11820,South Africa,CRS-014,0.9,0.833,-15.3,0.875
L14963,Egypt,CRS-003,11.4,0.781,-15.5,0.824
L10486,South Africa,CRS-003,16.4,0.856,6.1,0.658
L12910,South Africa,CRS-001,13.0,0.709,2.6,0.877
L12195,South Africa,CRS-008,2.4,0.721,-20.3,0.803
L12605,Egypt,CRS-007,0.9,0.446,1.8,0.459
L13655,South Africa,CRS-015,1.4,0.734,3.4,0.962
L10035,Egypt,CRS-004,4.7,0.489,4.4,0.749
L13997,Egypt,CRS-008,1.7,0.335,8.6,0.744
L14429,South Africa,CRS-004,4.2,0.813,0.0,0.890
L13699,South Africa,CRS-005,0.8,0.793,-0.8,0.585
L11799,South Africa,CRS-002,2.7,0.750,-5.5,0.315
L14546,Egypt,CRS-002,5.6,0.852,16.1,0.860
L12552,South Africa,CRS-014,1.9,0.985,14.6,0.657
L15199,South Africa,CRS-007,0.2,0.670,3.5,0.476
L12837,South Africa,CRS-008,16.9,0.857,2.3,0.827
L11891,South Africa,CRS-010,11.2,0.817,-32.3,0.940
L10101,Egypt,CRS-012,17.4,0.883,-1.7,0.372
L13622,South Africa,CRS-014,0.8,0.783,3.7,0.624
L12008,South Africa,CRS-001,20.0,0.707,6.9,0.441
L11842,South Africa,CRS-006,2.3,0.815,13.3,0.968
L13418,South Africa,CRS-005,2.6,0.170,1.8,0.689
L13975,Egypt,CRS-009,0.3,0.687,20.1,0.741
L12653,South Africa,CRS-006,3.6,0.876,-17.7,0.664
L10773,Egypt,CRS-013,6.8,0.886,19.4,0.752
L11664,Egypt,CRS-014,9.1,0.283,-0.6,0.596
L12208,South Africa,CRS-013,8.3,0.283,15.9,0.772
L11589,South Africa,CRS-002,5.9,0.755,0.3,0.597
L12585,South Africa,CRS-002,9.7,0.912,8.0,0.795
L12918,Egypt,CRS-014,7.0,0.757,-9.2,0.704
L10116,Egypt,CRS-005,0.9,0.683,-5.7,0.391
L14008,South Africa,CRS-013,18.5,0.864,7.0,0.942
L13987,South Africa,CRS-009,2.5,0.788,10.0,0.871
L12070,Egypt,CRS-010,2.2,0.686,4.7,0.851
L10299,South Africa,CRS-001,2.2,0.678,-0.1,0.847
L10570,Egypt,CRS-005,1.6,0.410,-17.1,0.661
